name,BestMCC,ObjatBestMCC,TimeatBestMCC,BestObj,TimeatBestObj,MFEatBestMCC,MFEatBestObj,MCCatBestObj,TP,TN,FN,FP,PostProcessMCC,MinDist,Backtracks,Repeat,TimeLimit,Vars
SRP_00023,0.441,1150,0.2,1854,60.0,-28.2,-69.7,0.374,52,97,18,38,0.367,4,146.2,2,60,1462
SRP_00024,0.306,2778,10.4,3145,55.7,-54.4,-80.2,0.197,120,63,54,38,0.17,4,556.9,2,60,5569
SRP_00025,0.213,2759,43.2,2768,60.6,-45.8,-44.3,0.206,112,54,56,44,0.192,4,540.2,2,60,5402
SRP_00026,0.308,2832,25.9,3177,60.3,-60.9,-69.8,0.285,122,60,54,36,0.247,4,562.0,2,60,5620
SRP_00027,0.16,2354,3.2,3157,60.0,-39.9,-64.5,0.085,121,46,53,53,0.069,4,570.2,2,60,5702
SRP_00028,0.351,2153,3.3,3273,60.5,-29.1,-67.1,0.291,118,67,54,32,0.299,4,561.2,2,60,5612
SRP_00029,0.351,2153,3.3,3273,60.6,-29.1,-67.1,0.291,118,67,54,32,0.299,4,561.2,2,60,5612
SRP_00030,0.4,2567,11.9,3176,60.2,-36.5,-64.0,0.276,134,62,42,34,0.311,4,536.3,2,60,5363
SRP_00031,0.156,2459,3.2,2963,47.4,-31.9,-41.1,0.103,114,48,64,44,0.091,4,552.0,2,60,5520
SRP_00032,0.235,2432,4.1,3149,60.1,-33.6,-69.3,0.205,127,49,55,41,0.228,4,570.8,2,60,5708
SRP_00033,0.378,-100,60.7,3096,40.4,-38.8,-64.3,0.361,139,55,41,35,0.378,4,553.6,2,60,5536
SRP_00034,0.463,2994,22.2,3099,57.5,-57.8,-62.5,0.382,144,61,36,30,0.329,4,565.3,2,60,5653
SRP_00037,0.314,2184,3.0,3052,38.2,-22.9,-58.4,0.29,124,59,50,38,0.278,4,557.4,2,60,5574
SRP_00038,0.38,1302,0.1,1359,24.2,-30.8,-32.9,0.336,53,20,13,15,-100,4,4,2,60,736
SRP_00039,0.483,845,0.1,1300,1.3,-16.8,-29.4,0.475,53,24,13,11,-100,4,4,2,60,736
SRP_00040,0.53,1584,0.2,1605,60.0,-44.3,-45.5,0.494,56,26,6,18,0.454,4,4,2,60,775
SRP_00042,0.41,1148,0.1,1206,60.0,-28.4,-28.1,0.365,40,24,10,16,0.367,4,4,2,60,569
SRP_00043,0.339,1547,0.1,1610,60.0,-26.0,-25.8,0.294,48,21,10,22,0.249,4,4,2,60,853
SRP_00044,0.748,1385,2.3,1421,26.9,-39.7,-34.7,0.361,62,35,2,12,0.32,4,4,2,60,849
SRP_00045,0.159,1333,0.6,1932,60.0,-10.6,-31.1,0.085,56,35,32,32,0.076,4,183.4,2,60,1834
SRP_00046,0.533,-100,60.0,1358,60.0,-24.2,-26.3,0.488,58,20,6,14,0.533,4,4,2,60,700
SRP_00047,0.748,1385,2.3,1421,26.8,-39.7,-34.7,0.361,62,35,2,12,0.32,4,4,2,60,849
SRP_00048,0.748,1385,2.3,1421,26.8,-39.7,-34.7,0.361,62,35,2,12,0.32,4,4,2,60,849
SRP_00049,0.121,2608,5.8,3165,11.6,-51.6,-70.8,0.116,121,52,83,45,0.102,4,662.6,2,60,6626
SRP_00050,0.178,2788,5.7,2788,5.7,-65.4,-65.4,0.178,126,56,72,46,0.167,4,687.0,2,60,6870
SRP_00051,0.45,-100,60.0,1523,60.0,-37.4,-41.1,0.409,52,25,8,20,0.45,4,4,2,60,812
SRP_00052,0.239,2705,4.4,3198,38.0,-55.7,-61.9,0.189,112,59,66,36,0.194,4,558.6,2,60,5586
SRP_00053,0.204,2142,2.0,2541,60.9,-26.4,-38.4,0.081,116,67,72,46,0.087,4,688.7,2,60,6887
SRP_00054,0.48,1393,8.5,1393,8.5,-39.4,-39.4,0.48,53,27,11,15,0.476,4,4,2,60,754
SRP_00055,0.48,1393,8.4,1393,8.4,-39.4,-39.4,0.48,53,27,11,15,0.476,4,4,2,60,754
SRP_00056,0.807,1421,0.6,1476,1.8,-33.7,-31.5,0.689,69,35,5,5,0.604,4,4,2,60,854
SRP_00057,0.539,1444,60.0,1444,60.0,-28.2,-28.2,0.539,62,27,8,16,0.539,4,4,2,60,750
SRP_00058,0.43,1486,0.6,1621,2.5,-39.9,-43.7,0.381,57,23,11,17,0.378,4,4,2,60,877
SRP_00059,0.43,1486,0.6,1621,2.5,-39.9,-43.7,0.381,57,23,11,17,0.378,4,4,2,60,877
SRP_00060,0.379,-100,60.2,3164,60.2,-54.1,-77.3,0.365,144,67,56,32,0.379,4,714.2,2,60,7142
SRP_00061,0.238,2262,4.6,3110,60.1,-32.2,-62.3,0.165,130,60,70,40,0.177,4,683.8,2,60,6838
SRP_00062,0.153,2288,3.0,2648,60.5,-17.2,-42.3,0.046,133,48,73,45,0.046,4,698.7,2,60,6987
SRP_00063,0.355,3121,10.5,3392,61.1,-60.1,-77.5,0.317,147,62,57,33,0.311,4,678.3,2,60,6783
SRP_00064,0.277,2972,49.9,3050,61.0,-50.48,-54.17,0.193,120,70,78,32,0.196,4,666.8,2,60,6668
SRP_00065,0.449,3095,20.5,3497,53.0,-74.3,-82.8,0.394,144,75,54,26,0.386,4,698.6,2,60,6986
SRP_00066,0.329,2491,5.6,3068,60.1,-41.3,-53.5,0.14,132,70,68,32,0.162,4,625.5,2,60,6255
SRP_00067,0.618,1230,0.3,1553,1.9,-22.8,-33.7,0.39,60,28,16,4,0.441,4,4,2,60,940
SRP_00068,0.248,2195,1.7,2484,36.6,-19.3,-27.3,0.12,113,53,59,35,0.151,4,544.0,2,60,5440
SRP_00069,0.19,2177,1.7,3061,42.1,-3.7,-51.2,0.164,105,54,65,39,0.14,4,572.6,2,60,5726
SRP_00070,0.117,2909,8.3,4957,12.4,-32.5,-72.8,0.086,128,154,114,108,0.117,4,1299.8,2,60,12998
SRP_00071,0.244,3165,25.5,3209,60.7,-70.2,-78.6,0.219,137,56,65,41,0.213,4,636.3,2,60,6363
SRP_00072,0.365,1349,0.7,1460,60.0,-36.9,-38.3,0.257,45,32,13,23,0.299,4,4,2,60,834
SRP_00073,0.246,3215,34.2,3410,53.1,-76.2,-72.8,0.207,104,70,38,68,0.196,4,572.9,2,60,5729
SRP_00074,0.165,918,0.3,1338,57.5,-1.4,-15.2,0.099,36,31,22,26,0.103,4,118.5,2,60,1185
SRP_00075,0.1,1162,0.1,1542,0.8,-14.9,-32.6,0.034,41,19,27,19,-0.002,4,4,2,60,829
SRP_00076,0.194,2697,10.2,2970,13.9,-45.1,-51.7,0.104,61,61,17,87,0.126,4,470.2,2,60,4702
SRP_00077,0.579,1563,3.7,1680,4.5,-27.1,-29.1,0.579,67,27,7,15,0.538,4,124.5,2,60,1245
SRP_00078,0.579,1563,3.8,1680,4.6,-27.1,-29.1,0.579,67,27,7,15,0.538,4,124.5,2,60,1245
SRP_00079,0.223,3209,19.5,3340,54.2,-71.7,-80.5,0.171,128,56,48,58,0.144,4,619.5,2,60,6195
SRP_00080,0.287,-100,60.9,3374,59.9,-82.3,-83.6,0.273,131,61,41,57,0.251,4,615.3,2,60,6153
SRP_00081,0.734,1371,3.9,1371,3.9,-39.3,-39.3,0.734,60,32,2,12,0.661,4,4,2,60,740
SRP_00082,0.189,-100,60.0,1648,60.0,-33.8,-39.5,0.159,54,14,12,26,0.189,4,4,2,60,929
SRP_00083,0.704,1103,1.9,1116,2.6,-18.3,-17.6,0.528,53,32,7,7,0.526,4,4,2,60,590
SRP_00084,0.874,1456,0.3,1456,0.3,-48.3,-48.3,0.874,66,33,2,4,0.79,4,4,2,60,739
SRP_00085,0.07,2713,12.4,3436,60.2,-27.7,-61.1,0.018,120,48,82,52,0.043,4,707.1,2,60,7071
SRP_00086,0.308,3230,34.2,3534,61.1,-69.9,-76.2,0.245,147,57,53,41,0.251,4,678.8,2,60,6788
SRP_00087,0.143,2519,12.3,3229,60.3,-32.3,-52.5,0.121,83,67,33,91,0.118,4,580.5,2,60,5805
SRP_00088,0.453,3094,50.3,3125,50.3,-52.7,-51.4,0.328,148,52,30,32,0.321,4,557.3,2,60,5573
SRP_00089,0.228,2712,59.2,2753,60.0,-51.3,-51.3,0.228,115,53,65,35,0.177,4,539.7,2,60,5397
SRP_00090,0.397,2443,2.8,3519,60.2,-26.1,-66.2,0.281,136,57,44,30,0.269,4,539.9,2,60,5399
SRP_00091,0.257,3107,61.1,3107,61.1,-53.8,-53.8,0.257,130,78,60,58,0.223,4,777.4,2,60,7774
SRP_00092,0.133,1729,2.9,3040,60.3,-4.8,-32.6,0.038,103,81,85,57,0.063,4,800.9,2,60,8009
SRP_00094,0.603,1072,0.3,1216,1.7,-31.5,-30.0,0.204,39,34,9,9,-100,4,4,2,60,581
SRP_00095,0.456,1027,0.0,1311,0.1,-20.8,-33.8,0.225,41,25,9,15,0.174,4,4,2,60,573
SRP_00096,0.447,1027,0.0,1311,0.5,-20.8,-33.8,0.213,41,24,9,15,0.159,4,4,2,60,547
SRP_00098,0.734,1564,0.5,1730,1.1,-45.8,-52.6,0.562,66,34,8,6,0.563,4,107.8,2,60,1078
SRP_00099,0.169,2691,40.0,2858,60.9,-32.1,-32.9,0.153,126,56,64,54,0.127,4,666.4,2,60,6664
SRP_00100,0.385,3260,12.9,3370,56.2,-68.7,-64.4,0.371,146,68,42,44,0.379,4,660.9,2,60,6609
TMR_00007,0.258,3291,24.3,3366,60.0,-54.1,-47.8,0.237,147,79,69,57,0.213,4,895.3,2,60,8953
TMR_00008,0.324,3729,42.9,4088,59.0,-93.5,-111.7,0.278,151,93,61,59,0.235,4,943.7,2,60,9437
TMR_00009,0.301,4068,21.2,4904,54.5,-106.4,-119.7,0.232,133,103,79,49,0.222,4,941.4,2,60,9414
TMR_00010,0.302,2906,8.5,3350,60.6,-23.1,-52.3,0.108,141,84,51,65,0.102,4,843.0,2,60,8430
TMR_00012,0.172,2542,7.1,3112,60.6,-21.1,-32.3,0.128,100,110,62,88,0.172,4,902.1,2,60,9021
TMR_00013,0.217,1848,3.2,3167,53.5,-3.6,-44.1,0.159,107,113,93,53,0.144,4,832.5,2,60,8325
TMR_00014,0.194,2269,5.0,3579,15.1,-34.9,-71.8,0.103,128,93,92,58,0.054,4,1021.2,2,60,10212
TMR_00015,0.279,3026,47.3,3079,60.4,-43.3,-42.9,0.24,126,108,74,58,0.2,4,835.3,2,60,8353
TMR_00016,0.264,3033,10.0,3369,52.8,-41.4,-56.3,0.261,129,103,69,65,0.213,4,835.1,2,60,8351
TMR_00017,0.242,2307,3.5,3487,54.0,-28.8,-49.8,0.012,121,106,83,57,0.023,4,870.4,2,60,8704
TMR_00018,0.244,3173,55.0,3345,60.1,-54.5,-59.3,0.188,125,99,59,77,0.189,4,824.9,2,60,8249
TMR_00019,0.141,3318,25.6,3386,60.6,-56.1,-60.7,0.096,123,83,63,91,0.061,4,844.2,2,60,8442
TMR_00028,0.169,3007,47.5,3240,60.7,-20.3,-33.6,0.14,123,86,71,75,0.147,4,891.4,2,60,8914
TMR_00030,0.237,3905,62.0,4037,62.0,-69.0,-60.3,0.229,149,95,73,73,0.202,4,1047.2,2,60,10472
TMR_00033,0.26,3884,27.9,4054,60.3,-99.5,-102.4,0.225,154,70,66,54,0.194,4,863.2,2,60,8632
TMR_00034,0.227,3474,6.9,3775,61.6,-89.6,-90.0,0.151,159,64,61,63,0.158,4,870.8,2,60,8708
TMR_00035,0.222,3766,60.6,3766,60.6,-60.7,-60.7,0.222,141,86,55,87,0.222,4,907.6,2,60,9076
TMR_00036,0.193,4828,61.2,4828,61.2,-40.6,-40.6,0.193,154,94,48,130,0.192,4,1415.1,2,60,14151
TMR_00037,0.223,3773,30.9,4399,61.1,-9.2,-32.0,0.209,141,117,61,107,0.195,4,1415.6,2,60,14156
TMR_00038,0.244,3324,8.7,3599,56.3,-50.6,-52.7,0.235,146,92,74,66,0.235,4,1025.5,2,60,10255
TMR_00041,0.303,2960,13.6,3377,61.2,-48.9,-83.0,0.239,129,101,57,65,0.21,4,710.9,2,60,7109
TMR_00042,0.144,1660,3.3,3120,59.3,-3.4,-35.9,0.04,101,100,95,59,0.052,4,850.4,2,60,8504
TMR_00043,0.252,1965,3.5,3186,61.8,-7.9,-31.1,0.087,117,104,81,53,0.079,4,866.0,2,60,8660
TMR_00044,0.144,1660,3.3,3120,59.4,-3.4,-35.9,0.04,101,100,95,59,0.052,4,850.4,2,60,8504
TMR_00045,0.225,2432,8.7,3223,60.2,-9.9,-41.1,0.091,128,91,68,68,0.101,4,845.1,2,60,8451
TMR_00046,0.373,-100,61.1,3746,61.1,-63.0,-66.3,0.361,150,95,42,68,0.34,4,847.7,2,60,8477
TMR_00047,0.314,2923,18.2,3358,59.8,-35.0,-43.6,0.258,87,111,27,87,0.244,4,670.7,2,60,6707
TMR_00048,0.2,3117,52.8,3367,62.0,-55.3,-58.2,0.118,117,100,73,71,0.081,4,908.1,2,60,9081
TMR_00049,0.274,2794,3.2,2827,60.1,-30.1,-41.9,0.225,121,105,53,77,0.195,4,736.7,2,60,7367
TMR_00051,0.237,3326,60.3,3408,60.8,-43.8,-44.3,0.226,126,99,62,76,0.193,4,804.3,2,60,8043
TMR_00052,0.286,3389,60.5,3389,60.5,-45.9,-45.9,0.286,136,96,52,76,0.23,4,794.7,2,60,7947
TMR_00053,0.225,2432,8.7,3223,60.2,-9.9,-41.1,0.091,128,91,68,68,0.101,4,845.1,2,60,8451
TMR_00055,0.18,3089,13.4,3649,61.0,-20.8,-45.1,0.159,147,91,81,79,0.14,4,1226.3,2,60,12263
TMR_00056,0.172,2985,14.9,3273,62.0,-14.2,-17.4,0.115,144,92,84,78,0.109,4,1234.2,2,60,12342
TMR_00057,0.261,3031,21.0,3560,60.5,-37.3,-48.0,0.251,101,142,57,85,0.237,4,1059.9,2,60,10599
TMR_00058,0.237,2793,7.0,3395,53.8,-20.7,-25.7,0.038,145,102,83,67,0.058,4,1196.2,2,60,11962
TMR_00061,0.273,2994,7.2,3614,58.4,-30.7,-51.4,0.208,143,81,55,67,0.177,4,931.4,2,60,9314
TMR_00062,0.086,2331,7.9,3552,56.6,-42.2,-57.3,-0.015,106,109,102,80,0.011,4,1163.8,2,60,11638
TMR_00063,0.104,2498,6.7,3951,60.6,-40.6,-74.3,0.032,114,105,94,84,0.008,4,1155.3,2,60,11553
TMR_00064,0.139,2901,9.6,3068,40.3,10.5,-2.5,0.139,134,91,72,96,0.117,4,1144.5,2,60,11445
TMR_00065,0.132,3296,34.7,3515,62.2,-24.5,-34.3,0.08,136,88,76,92,0.066,4,1097.5,2,60,10975
TMR_00067,0.22,3676,60.5,3676,60.5,-61.4,-61.4,0.22,163,89,65,89,0.184,4,1109.0,2,60,11090
TMR_00068,0.236,2949,18.7,3631,57.5,-30.1,-67.8,0.123,153,90,77,67,0.083,4,1010.2,2,60,10102
TMR_00069,0.236,2949,18.7,3631,57.7,-30.1,-67.8,0.123,153,90,77,67,0.083,4,1010.2,2,60,10102
TMR_00070,0.236,2949,18.7,3631,57.6,-30.1,-67.8,0.123,153,90,77,67,0.083,4,1010.2,2,60,10102
TMR_00071,0.135,2833,6.2,3639,62.3,-25.0,-24.4,0.03,138,69,96,56,0.033,4,1112.4,2,60,11124
TMR_00072,0.146,2833,6.0,3421,62.3,-25.0,-14.7,0.094,138,72,96,56,0.083,4,1137.5,2,60,11375
TMR_00073,0.17,3457,25.4,3567,60.2,-21.7,-37.1,0.146,165,60,69,69,0.137,4,1124.7,2,60,11247
TMR_00076,0.136,3535,57.0,3560,62.3,-51.3,-48.4,0.124,122,93,78,84,0.098,4,1004.9,2,60,10049
TMR_00080,0.234,2871,20.5,3435,53.2,-3.0,-34.2,0.085,121,111,71,73,0.041,4,977.0,2,60,9770
TMR_00081,0.312,2446,5.3,3797,61.8,-10.2,-26.2,0.059,124,113,88,42,0.049,4,943.1,2,60,9431
TMR_00082,0.161,2131,4.1,3115,53.0,-5.3,-17.1,0.106,99,114,93,63,0.082,4,938.0,2,60,9380
TMR_00083,0.21,2209,4.0,3480,60.8,-35.9,-50.7,0.096,104,114,106,46,0.128,4,955.0,2,60,9550
TMR_00084,0.227,-100,62.3,3335,62.3,-52.3,-55.8,0.218,155,77,55,83,0.227,4,953.2,2,60,9532
TMR_00085,0.249,2926,7.6,3176,61.5,-29.2,-36.2,0.202,145,89,63,73,0.177,4,937.9,2,60,9379
TMR_00086,0.319,3341,41.4,4061,60.6,-71.45,-79.8,0.274,130,112,82,46,0.268,4,910.4,2,60,9104
TMR_00087,0.319,3341,41.4,4061,60.6,-71.45,-79.8,0.274,130,112,82,46,0.268,4,910.4,2,60,9104
TMR_00088,0.21,3544,17.6,3544,17.6,-64.4,-64.4,0.21,147,81,63,79,0.194,4,951.1,2,60,9511
TMR_00089,0.29,3328,58.4,3328,58.4,-45.8,-45.8,0.29,151,91,59,69,0.278,4,921.5,2,60,9215
TMR_00090,0.3,3673,50.6,3786,62.1,-78.3,-79.2,0.268,142,100,68,60,0.227,4,953.9,2,60,9539
TMR_00091,0.249,2926,7.5,3176,61.3,-29.2,-36.2,0.202,145,89,63,73,0.177,4,937.9,2,60,9379
TMR_00092,0.19,3551,22.5,4472,61.3,-66.1,-92.5,0.178,126,94,76,72,0.172,4,967.4,2,60,9674
TMR_00093,0.196,3296,10.1,3861,38.2,-42.0,-41.2,0.065,122,93,82,62,0.077,4,1067.4,2,60,10674
TMR_00095,0.196,3296,10.2,3861,38.1,-42.0,-41.2,0.065,122,93,82,62,0.077,4,1067.4,2,60,10674
TMR_00096,0.307,3257,14.5,3528,43.8,-44.9,-27.1,0.169,120,115,74,52,0.142,4,925.1,2,60,9251
TMR_00098,0.257,3296,49.1,3296,49.1,-22.6,-22.6,0.257,147,81,57,71,0.237,4,1055.5,2,60,10555
TMR_00099,0.252,3011,10.2,3639,60.6,-44.2,-33.5,0.088,119,104,85,51,0.063,4,1062.4,2,60,10624
TMR_00100,0.196,3296,10.2,3861,38.2,-42.0,-41.2,0.065,122,93,82,62,0.077,4,1067.4,2,60,10674
TMR_00101,0.201,2765,10.6,3578,59.5,-4.4,-27.5,0.139,138,81,76,64,0.118,4,1095.0,2,60,10950
TMR_00102,0.129,2805,10.0,3237,44.1,-7.1,-18.5,0.06,135,72,67,85,0.063,4,1072.2,2,60,10722
TMR_00103,0.189,3451,46.7,3686,62.3,-55.0,-62.7,0.138,138,79,78,64,0.126,4,957.9,2,60,9579
TMR_00104,0.081,2125,4.0,3175,54.9,3.5,-5.0,0.024,73,127,67,99,0.024,4,955.8,2,60,9558
TMR_00106,0.155,3545,52.3,3545,52.3,-10.5,-10.5,0.155,155,94,85,91,0.124,4,1353.8,2,60,13538
